ID,agreement,subjectivity,confidence,Class
1,DISAGREEMENT,SUBJECTIVE,86,1
2,DISAGREEMENT,SUBJECTIVE,76,0
3,DISAGREEMENT,SUBJECTIVE,86,1
4,DISAGREEMENT,OBJECTIVE,84,1
5,AGREEMENT,OBJECTIVE,100,1
6,DISAGREEMENT,SUBJECTIVE,76,0
7,DISAGREEMENT,SUBJECTIVE,86,1
8,DISAGREEMENT,SUBJECTIVE,84,0
9,DISAGREEMENT,SUBJECTIVE,76,0
10,DISAGREEMENT,SUBJECTIVE,86,0
11,DISAGREEMENT,SUBJECTIVE,86,0
12,DISAGREEMENT,SUBJECTIVE,86,0
13,DISAGREEMENT,SUBJECTIVE,86,1
14,DISAGREEMENT,OBJECTIVE,94,1
15,DISAGREEMENT,SUBJECTIVE,86,0
16,DISAGREEMENT,SUBJECTIVE,86,0
17,DISAGREEMENT,SUBJECTIVE,86,1
18,DISAGREEMENT,SUBJECTIVE,83,1
19,DISAGREEMENT,SUBJECTIVE,86,0
20,DISAGREEMENT,SUBJECTIVE,86,1
21,DISAGREEMENT,SUBJECTIVE,92,0
22,DISAGREEMENT,SUBJECTIVE,86,0
23,DISAGREEMENT,SUBJECTIVE,84,1
24,DISAGREEMENT,SUBJECTIVE,86,0
25,DISAGREEMENT,SUBJECTIVE,86,1
26,DISAGREEMENT,SUBJECTIVE,74,0
27,DISAGREEMENT,SUBJECTIVE,86,1
28,DISAGREEMENT,SUBJECTIVE,86,0
29,DISAGREEMENT,SUBJECTIVE,76,0
30,DISAGREEMENT,SUBJECTIVE,84,1
31,DISAGREEMENT,SUBJECTIVE,86,0
32,DISAGREEMENT,SUBJECTIVE,76,0
33,DISAGREEMENT,SUBJECTIVE,73,0
34,DISAGREEMENT,SUBJECTIVE,76,0
35,DISAGREEMENT,SUBJECTIVE,73,1
36,DISAGREEMENT,SUBJECTIVE,74,1
37,DISAGREEMENT,SUBJECTIVE,86,0
38,DISAGREEMENT,SUBJECTIVE,84,0
39,DISAGREEMENT,SUBJECTIVE,76,0
40,DISAGREEMENT,SUBJECTIVE,86,1
41,DISAGREEMENT,SUBJECTIVE,86,0
42,DISAGREEMENT,SUBJECTIVE,86,1
43,DISAGREEMENT,SUBJECTIVE,91,0
44,DISAGREEMENT,SUBJECTIVE,83,0
45,DISAGREEMENT,SUBJECTIVE,91,1
46,DISAGREEMENT,SUBJECTIVE,86,0
47,DISAGREEMENT,SUBJECTIVE,86,1
48,DISAGREEMENT,SUBJECTIVE,91,1
49,DISAGREEMENT,SUBJECTIVE,86,0
50,DISAGREEMENT,SUBJECTIVE,76,0
51,DISAGREEMENT,SUBJECTIVE,76,0
52,DISAGREEMENT,SUBJECTIVE,76,0
53,DISAGREEMENT,SUBJECTIVE,76,1
54,DISAGREEMENT,SUBJECTIVE,86,0
55,DISAGREEMENT,SUBJECTIVE,76,0
56,DISAGREEMENT,SUBJECTIVE,74,1
57,DISAGREEMENT,SUBJECTIVE,73,0
58,DISAGREEMENT,SUBJECTIVE,86,1
59,DISAGREEMENT,OBJECTIVE,92,1
60,AGREEMENT,OBJECTIVE,100,1
61,DISAGREEMENT,SUBJECTIVE,91,1
62,DISAGREEMENT,SUBJECTIVE,86,0
63,DISAGREEMENT,SUBJECTIVE,86,0
64,DISAGREEMENT,SUBJECTIVE,86,0
65,AGREEMENT,OBJECTIVE,100,0
66,DISAGREEMENT,OBJECTIVE,94,0
67,DISAGREEMENT,SUBJECTIVE,81,0
68,DISAGREEMENT,OBJECTIVE,86,1
69,DISAGREEMENT,SUBJECTIVE,86,0
70,DISAGREEMENT,SUBJECTIVE,86,0
71,DISAGREEMENT,SUBJECTIVE,86,0
72,DISAGREEMENT,SUBJECTIVE,84,0
73,DISAGREEMENT,SUBJECTIVE,74,0
74,DISAGREEMENT,SUBJECTIVE,86,1
75,DISAGREEMENT,SUBJECTIVE,86,0
76,DISAGREEMENT,SUBJECTIVE,92,1
77,DISAGREEMENT,SUBJECTIVE,83,0
78,DISAGREEMENT,SUBJECTIVE,91,0
79,DISAGREEMENT,SUBJECTIVE,91,1
80,DISAGREEMENT,SUBJECTIVE,86,1
81,DISAGREEMENT,SUBJECTIVE,86,0
82,DISAGREEMENT,SUBJECTIVE,76,0
83,AGREEMENT,OBJECTIVE,100,1
84,DISAGREEMENT,SUBJECTIVE,86,0
85,DISAGREEMENT,SUBJECTIVE,76,0
86,DISAGREEMENT,SUBJECTIVE,83,1
87,DISAGREEMENT,OBJECTIVE,86,1
88,DISAGREEMENT,SUBJECTIVE,86,0
89,DISAGREEMENT,SUBJECTIVE,76,0
90,DISAGREEMENT,SUBJECTIVE,86,0
91,DISAGREEMENT,SUBJECTIVE,76,0
92,DISAGREEMENT,SUBJECTIVE,86,1
93,DISAGREEMENT,OBJECTIVE,91,1
94,DISAGREEMENT,SUBJECTIVE,76,0
95,DISAGREEMENT,SUBJECTIVE,86,0
96,DISAGREEMENT,SUBJECTIVE,86,0
97,DISAGREEMENT,SUBJECTIVE,86,0
98,DISAGREEMENT,SUBJECTIVE,86,0
99,DISAGREEMENT,SUBJECTIVE,92,1
100,DISAGREEMENT,SUBJECTIVE,74,0
101,AGREEMENT,OBJECTIVE,100,0
102,DISAGREEMENT,SUBJECTIVE,83,1
103,DISAGREEMENT,SUBJECTIVE,86,1
104,DISAGREEMENT,SUBJECTIVE,76,0
105,DISAGREEMENT,SUBJECTIVE,84,0
106,DISAGREEMENT,SUBJECTIVE,86,1
107,DISAGREEMENT,SUBJECTIVE,86,0
108,DISAGREEMENT,SUBJECTIVE,86,0
109,DISAGREEMENT,SUBJECTIVE,76,0
110,DISAGREEMENT,SUBJECTIVE,86,0
111,DISAGREEMENT,SUBJECTIVE,86,1
112,DISAGREEMENT,SUBJECTIVE,83,0
113,DISAGREEMENT,SUBJECTIVE,86,0
114,DISAGREEMENT,SUBJECTIVE,86,1
115,DISAGREEMENT,SUBJECTIVE,83,0
116,DISAGREEMENT,SUBJECTIVE,74,1
117,DISAGREEMENT,SUBJECTIVE,86,0
118,DISAGREEMENT,SUBJECTIVE,86,0
119,DISAGREEMENT,SUBJECTIVE,86,1
120,DISAGREEMENT,SUBJECTIVE,86,0
121,DISAGREEMENT,SUBJECTIVE,76,0
122,DISAGREEMENT,SUBJECTIVE,86,0
123,DISAGREEMENT,SUBJECTIVE,94,0
124,DISAGREEMENT,SUBJECTIVE,76,1
125,DISAGREEMENT,SUBJECTIVE,91,1
126,DISAGREEMENT,SUBJECTIVE,81,1
127,DISAGREEMENT,SUBJECTIVE,86,0
128,DISAGREEMENT,SUBJECTIVE,73,0
129,DISAGREEMENT,SUBJECTIVE,86,1
130,DISAGREEMENT,SUBJECTIVE,86,0
131,DISAGREEMENT,SUBJECTIVE,86,1
132,DISAGREEMENT,SUBJECTIVE,83,0
133,DISAGREEMENT,SUBJECTIVE,92,0
134,DISAGREEMENT,SUBJECTIVE,76,0
135,DISAGREEMENT,SUBJECTIVE,76,0
136,DISAGREEMENT,SUBJECTIVE,83,0
137,DISAGREEMENT,SUBJECTIVE,86,0
138,DISAGREEMENT,SUBJECTIVE,86,0
139,DISAGREEMENT,SUBJECTIVE,86,0
140,DISAGREEMENT,SUBJECTIVE,84,1
141,DISAGREEMENT,SUBJECTIVE,86,0
142,DISAGREEMENT,SUBJECTIVE,83,1
143,DISAGREEMENT,SUBJECTIVE,86,1
144,DISAGREEMENT,SUBJECTIVE,86,1
145,DISAGREEMENT,SUBJECTIVE,84,1
146,DISAGREEMENT,SUBJECTIVE,86,0
147,DISAGREEMENT,SUBJECTIVE,86,0
148,DISAGREEMENT,SUBJECTIVE,82,1
149,DISAGREEMENT,SUBJECTIVE,86,0
150,DISAGREEMENT,SUBJECTIVE,86,1
151,DISAGREEMENT,SUBJECTIVE,86,1
152,AGREEMENT,OBJECTIVE,100,1
153,DISAGREEMENT,SUBJECTIVE,92,0
154,DISAGREEMENT,SUBJECTIVE,84,1
155,DISAGREEMENT,OBJECTIVE,94,1
156,DISAGREEMENT,SUBJECTIVE,86,0
157,DISAGREEMENT,SUBJECTIVE,86,1
158,DISAGREEMENT,SUBJECTIVE,84,0
159,DISAGREEMENT,SUBJECTIVE,86,0
160,DISAGREEMENT,SUBJECTIVE,86,1
161,DISAGREEMENT,SUBJECTIVE,86,0
162,DISAGREEMENT,SUBJECTIVE,86,0
163,DISAGREEMENT,SUBJECTIVE,91,1
164,DISAGREEMENT,SUBJECTIVE,86,0
165,DISAGREEMENT,SUBJECTIVE,84,0
166,DISAGREEMENT,SUBJECTIVE,76,0
167,DISAGREEMENT,SUBJECTIVE,86,1
168,DISAGREEMENT,SUBJECTIVE,91,1
169,DISAGREEMENT,SUBJECTIVE,90,1
170,DISAGREEMENT,SUBJECTIVE,84,1
171,DISAGREEMENT,SUBJECTIVE,86,1
172,DISAGREEMENT,SUBJECTIVE,76,0
173,DISAGREEMENT,SUBJECTIVE,73,0
174,DISAGREEMENT,SUBJECTIVE,74,1
175,DISAGREEMENT,SUBJECTIVE,86,0
176,DISAGREEMENT,SUBJECTIVE,86,0
177,DISAGREEMENT,SUBJECTIVE,84,0
178,DISAGREEMENT,SUBJECTIVE,86,1
179,DISAGREEMENT,SUBJECTIVE,86,0
180,DISAGREEMENT,SUBJECTIVE,86,0
181,DISAGREEMENT,SUBJECTIVE,86,1
182,DISAGREEMENT,SUBJECTIVE,94,0
183,DISAGREEMENT,SUBJECTIVE,92,1
184,DISAGREEMENT,SUBJECTIVE,74,1
185,DISAGREEMENT,SUBJECTIVE,84,0
186,DISAGREEMENT,OBJECTIVE,86,0
187,DISAGREEMENT,OBJECTIVE,92,1
188,DISAGREEMENT,SUBJECTIVE,86,1
189,DISAGREEMENT,SUBJECTIVE,86,1
190,DISAGREEMENT,SUBJECTIVE,76,1
191,DISAGREEMENT,SUBJECTIVE,86,0
192,DISAGREEMENT,SUBJECTIVE,86,0
193,DISAGREEMENT,SUBJECTIVE,94,1
194,DISAGREEMENT,SUBJECTIVE,91,0
195,DISAGREEMENT,SUBJECTIVE,86,0
196,DISAGREEMENT,OBJECTIVE,94,1
197,DISAGREEMENT,SUBJECTIVE,94,1
198,DISAGREEMENT,SUBJECTIVE,84,0
199,DISAGREEMENT,OBJECTIVE,94,0
200,DISAGREEMENT,SUBJECTIVE,86,1
201,DISAGREEMENT,SUBJECTIVE,86,1
202,DISAGREEMENT,SUBJECTIVE,73,1
203,DISAGREEMENT,SUBJECTIVE,76,0
204,DISAGREEMENT,SUBJECTIVE,94,0
205,DISAGREEMENT,SUBJECTIVE,92,0
206,DISAGREEMENT,SUBJECTIVE,86,0
207,DISAGREEMENT,SUBJECTIVE,86,0
208,AGREEMENT,SUBJECTIVE,92,1
209,DISAGREEMENT,SUBJECTIVE,76,1
210,DISAGREEMENT,SUBJECTIVE,76,1
211,DISAGREEMENT,SUBJECTIVE,83,0
212,DISAGREEMENT,SUBJECTIVE,86,1
213,DISAGREEMENT,SUBJECTIVE,84,1
214,DISAGREEMENT,SUBJECTIVE,91,0
215,DISAGREEMENT,SUBJECTIVE,86,0
216,DISAGREEMENT,SUBJECTIVE,83,0
217,DISAGREEMENT,SUBJECTIVE,86,0
218,DISAGREEMENT,SUBJECTIVE,86,1
219,DISAGREEMENT,SUBJECTIVE,86,1
220,DISAGREEMENT,SUBJECTIVE,86,0
221,DISAGREEMENT,SUBJECTIVE,83,0
222,DISAGREEMENT,SUBJECTIVE,92,0
223,DISAGREEMENT,SUBJECTIVE,86,1
224,DISAGREEMENT,SUBJECTIVE,86,1
225,DISAGREEMENT,SUBJECTIVE,86,1
226,DISAGREEMENT,SUBJECTIVE,86,0
227,DISAGREEMENT,SUBJECTIVE,86,0
228,DISAGREEMENT,SUBJECTIVE,86,0
229,DISAGREEMENT,SUBJECTIVE,86,0
230,DISAGREEMENT,SUBJECTIVE,92,0
231,DISAGREEMENT,SUBJECTIVE,94,1
232,DISAGREEMENT,SUBJECTIVE,76,0
233,DISAGREEMENT,SUBJECTIVE,94,1
234,DISAGREEMENT,SUBJECTIVE,86,0
235,AGREEMENT,OBJECTIVE,100,1
236,DISAGREEMENT,SUBJECTIVE,86,1
237,AGREEMENT,SUBJECTIVE,100,1
238,AGREEMENT,OBJECTIVE,100,1
239,DISAGREEMENT,SUBJECTIVE,76,0
240,DISAGREEMENT,SUBJECTIVE,92,0
241,DISAGREEMENT,SUBJECTIVE,86,1
242,DISAGREEMENT,SUBJECTIVE,86,0
243,DISAGREEMENT,SUBJECTIVE,86,0
244,DISAGREEMENT,SUBJECTIVE,73,0
245,DISAGREEMENT,SUBJECTIVE,86,1
246,DISAGREEMENT,SUBJECTIVE,76,1
247,DISAGREEMENT,SUBJECTIVE,86,1
248,DISAGREEMENT,SUBJECTIVE,86,0
249,DISAGREEMENT,SUBJECTIVE,86,0
250,DISAGREEMENT,SUBJECTIVE,83,0
251,DISAGREEMENT,SUBJECTIVE,94,0
252,DISAGREEMENT,SUBJECTIVE,86,1
253,DISAGREEMENT,OBJECTIVE,94,1
254,DISAGREEMENT,SUBJECTIVE,86,1
255,DISAGREEMENT,SUBJECTIVE,94,0
256,DISAGREEMENT,SUBJECTIVE,84,0
257,DISAGREEMENT,SUBJECTIVE,86,0
258,DISAGREEMENT,SUBJECTIVE,92,1
259,DISAGREEMENT,SUBJECTIVE,86,0
260,DISAGREEMENT,SUBJECTIVE,76,1
261,DISAGREEMENT,SUBJECTIVE,86,0
262,DISAGREEMENT,SUBJECTIVE,92,1
263,DISAGREEMENT,SUBJECTIVE,86,0
264,DISAGREEMENT,SUBJECTIVE,76,0
265,DISAGREEMENT,SUBJECTIVE,86,0
266,DISAGREEMENT,SUBJECTIVE,94,1
267,DISAGREEMENT,SUBJECTIVE,94,1
268,DISAGREEMENT,SUBJECTIVE,76,0
269,DISAGREEMENT,SUBJECTIVE,84,1
270,DISAGREEMENT,SUBJECTIVE,76,1
271,DISAGREEMENT,OBJECTIVE,94,1
272,DISAGREEMENT,SUBJECTIVE,86,0
273,DISAGREEMENT,OBJECTIVE,91,1
274,DISAGREEMENT,SUBJECTIVE,86,1
275,AGREEMENT,OBJECTIVE,100,1
276,DISAGREEMENT,SUBJECTIVE,86,1
277,AGREEMENT,SUBJECTIVE,98,1
278,DISAGREEMENT,SUBJECTIVE,86,0
279,DISAGREEMENT,SUBJECTIVE,76,0
280,DISAGREEMENT,SUBJECTIVE,86,0
281,AGREEMENT,OBJECTIVE,100,1
282,DISAGREEMENT,SUBJECTIVE,83,1
283,AGREEMENT,SUBJECTIVE,100,1
284,DISAGREEMENT,SUBJECTIVE,86,0
285,DISAGREEMENT,SUBJECTIVE,84,1
286,DISAGREEMENT,SUBJECTIVE,86,1
287,DISAGREEMENT,SUBJECTIVE,86,0
288,DISAGREEMENT,SUBJECTIVE,86,1
289,DISAGREEMENT,SUBJECTIVE,86,0
290,AGREEMENT,OBJECTIVE,92,1
291,DISAGREEMENT,SUBJECTIVE,74,1
292,DISAGREEMENT,SUBJECTIVE,86,1
293,DISAGREEMENT,OBJECTIVE,86,0
294,DISAGREEMENT,SUBJECTIVE,86,1
295,AGREEMENT,SUBJECTIVE,92,1
296,DISAGREEMENT,SUBJECTIVE,91,0
297,DISAGREEMENT,SUBJECTIVE,86,1
298,DISAGREEMENT,SUBJECTIVE,86,1
299,DISAGREEMENT,SUBJECTIVE,94,1
300,DISAGREEMENT,SUBJECTIVE,86,1
301,DISAGREEMENT,SUBJECTIVE,86,1
302,DISAGREEMENT,SUBJECTIVE,86,0
303,AGREEMENT,SUBJECTIVE,98,1
304,AGREEMENT,SUBJECTIVE,100,1
305,DISAGREEMENT,SUBJECTIVE,86,1
306,AGREEMENT,SUBJECTIVE,100,1
307,DISAGREEMENT,SUBJECTIVE,76,1
308,DISAGREEMENT,SUBJECTIVE,73,1
309,DISAGREEMENT,SUBJECTIVE,86,0
310,DISAGREEMENT,SUBJECTIVE,74,0
311,DISAGREEMENT,SUBJECTIVE,84,0
312,DISAGREEMENT,SUBJECTIVE,86,1
313,DISAGREEMENT,SUBJECTIVE,86,0
314,DISAGREEMENT,SUBJECTIVE,76,0
315,DISAGREEMENT,SUBJECTIVE,86,0
316,DISAGREEMENT,SUBJECTIVE,86,0
317,DISAGREEMENT,SUBJECTIVE,86,1
318,DISAGREEMENT,SUBJECTIVE,86,0
319,DISAGREEMENT,SUBJECTIVE,86,1
320,DISAGREEMENT,SUBJECTIVE,86,0
321,AGREEMENT,SUBJECTIVE,100,0
322,DISAGREEMENT,SUBJECTIVE,83,1
323,DISAGREEMENT,SUBJECTIVE,94,0
324,DISAGREEMENT,SUBJECTIVE,86,1
325,DISAGREEMENT,SUBJECTIVE,83,0
326,DISAGREEMENT,SUBJECTIVE,86,0
327,DISAGREEMENT,SUBJECTIVE,84,1
328,DISAGREEMENT,SUBJECTIVE,91,1
329,AGREEMENT,OBJECTIVE,100,1
330,DISAGREEMENT,OBJECTIVE,91,1
331,DISAGREEMENT,OBJECTIVE,94,1
332,DISAGREEMENT,SUBJECTIVE,76,0
333,DISAGREEMENT,SUBJECTIVE,86,1
334,DISAGREEMENT,SUBJECTIVE,86,1
335,DISAGREEMENT,SUBJECTIVE,76,1
336,DISAGREEMENT,SUBJECTIVE,94,0
337,DISAGREEMENT,SUBJECTIVE,86,1
338,DISAGREEMENT,SUBJECTIVE,94,1
339,DISAGREEMENT,SUBJECTIVE,91,1
340,DISAGREEMENT,OBJECTIVE,86,1
341,DISAGREEMENT,SUBJECTIVE,83,0
342,DISAGREEMENT,SUBJECTIVE,91,0
343,DISAGREEMENT,SUBJECTIVE,86,1
344,DISAGREEMENT,SUBJECTIVE,84,1
345,DISAGREEMENT,SUBJECTIVE,84,1
346,DISAGREEMENT,SUBJECTIVE,86,0
347,DISAGREEMENT,SUBJECTIVE,86,0
348,DISAGREEMENT,SUBJECTIVE,92,1
349,DISAGREEMENT,SUBJECTIVE,86,0
350,DISAGREEMENT,SUBJECTIVE,86,0
351,DISAGREEMENT,SUBJECTIVE,76,0
352,DISAGREEMENT,SUBJECTIVE,86,1
353,DISAGREEMENT,SUBJECTIVE,82,1
354,DISAGREEMENT,SUBJECTIVE,92,0
355,DISAGREEMENT,SUBJECTIVE,86,0
356,DISAGREEMENT,SUBJECTIVE,86,0
357,DISAGREEMENT,SUBJECTIVE,86,0
358,DISAGREEMENT,SUBJECTIVE,83,0
359,DISAGREEMENT,SUBJECTIVE,86,0
360,DISAGREEMENT,SUBJECTIVE,86,0
361,DISAGREEMENT,SUBJECTIVE,94,1
362,DISAGREEMENT,SUBJECTIVE,86,0
363,DISAGREEMENT,SUBJECTIVE,86,0
364,AGREEMENT,OBJECTIVE,100,1
365,DISAGREEMENT,SUBJECTIVE,83,1
366,DISAGREEMENT,SUBJECTIVE,86,1
367,DISAGREEMENT,SUBJECTIVE,94,1
368,DISAGREEMENT,SUBJECTIVE,86,0
369,DISAGREEMENT,SUBJECTIVE,76,1
370,DISAGREEMENT,SUBJECTIVE,86,1
371,DISAGREEMENT,SUBJECTIVE,86,1
372,DISAGREEMENT,SUBJECTIVE,83,0
373,DISAGREEMENT,SUBJECTIVE,83,1
374,DISAGREEMENT,SUBJECTIVE,86,0
375,AGREEMENT,SUBJECTIVE,100,0
376,DISAGREEMENT,SUBJECTIVE,94,1
377,DISAGREEMENT,SUBJECTIVE,86,1
378,DISAGREEMENT,SUBJECTIVE,86,0
379,DISAGREEMENT,SUBJECTIVE,86,0
380,DISAGREEMENT,SUBJECTIVE,94,1
381,DISAGREEMENT,SUBJECTIVE,86,0
382,DISAGREEMENT,SUBJECTIVE,86,0
383,DISAGREEMENT,SUBJECTIVE,86,1
384,DISAGREEMENT,OBJECTIVE,76,0
385,DISAGREEMENT,SUBJECTIVE,86,0
386,DISAGREEMENT,SUBJECTIVE,76,0
387,DISAGREEMENT,SUBJECTIVE,83,0
388,DISAGREEMENT,SUBJECTIVE,92,1
389,DISAGREEMENT,SUBJECTIVE,86,0
390,DISAGREEMENT,SUBJECTIVE,86,1
391,DISAGREEMENT,SUBJECTIVE,71,0
392,DISAGREEMENT,SUBJECTIVE,84,0
393,DISAGREEMENT,SUBJECTIVE,94,1
394,DISAGREEMENT,SUBJECTIVE,86,0
395,DISAGREEMENT,SUBJECTIVE,83,1
396,DISAGREEMENT,SUBJECTIVE,73,1
397,AGREEMENT,OBJECTIVE,100,1
398,DISAGREEMENT,SUBJECTIVE,83,0
399,DISAGREEMENT,SUBJECTIVE,86,0
400,AGREEMENT,OBJECTIVE,100,1
401,DISAGREEMENT,SUBJECTIVE,76,0
402,DISAGREEMENT,SUBJECTIVE,91,0
403,AGREEMENT,SUBJECTIVE,100,1
404,DISAGREEMENT,SUBJECTIVE,86,1
405,DISAGREEMENT,SUBJECTIVE,86,1
406,DISAGREEMENT,SUBJECTIVE,86,0
407,DISAGREEMENT,SUBJECTIVE,86,0
408,DISAGREEMENT,SUBJECTIVE,73,0
409,DISAGREEMENT,SUBJECTIVE,76,0
410,DISAGREEMENT,SUBJECTIVE,86,0
411,DISAGREEMENT,SUBJECTIVE,86,0
412,DISAGREEMENT,SUBJECTIVE,86,1
413,DISAGREEMENT,SUBJECTIVE,86,1
414,DISAGREEMENT,SUBJECTIVE,76,0
415,AGREEMENT,OBJECTIVE,100,1
416,DISAGREEMENT,SUBJECTIVE,94,1
417,DISAGREEMENT,SUBJECTIVE,86,0
418,AGREEMENT,SUBJECTIVE,92,1
419,DISAGREEMENT,SUBJECTIVE,86,0
420,DISAGREEMENT,SUBJECTIVE,86,1
421,DISAGREEMENT,SUBJECTIVE,94,1
422,DISAGREEMENT,SUBJECTIVE,86,1
423,DISAGREEMENT,SUBJECTIVE,92,1
424,DISAGREEMENT,SUBJECTIVE,86,1
425,DISAGREEMENT,SUBJECTIVE,86,1
426,DISAGREEMENT,SUBJECTIVE,86,0
427,DISAGREEMENT,SUBJECTIVE,94,1
428,DISAGREEMENT,SUBJECTIVE,86,0
429,DISAGREEMENT,SUBJECTIVE,86,0
430,DISAGREEMENT,SUBJECTIVE,86,0
431,DISAGREEMENT,SUBJECTIVE,86,1
432,DISAGREEMENT,SUBJECTIVE,83,1
433,DISAGREEMENT,SUBJECTIVE,86,0
434,DISAGREEMENT,SUBJECTIVE,92,1
435,DISAGREEMENT,SUBJECTIVE,91,0
436,DISAGREEMENT,SUBJECTIVE,83,1
437,DISAGREEMENT,SUBJECTIVE,92,1
438,DISAGREEMENT,SUBJECTIVE,76,1
439,DISAGREEMENT,SUBJECTIVE,94,0
440,DISAGREEMENT,SUBJECTIVE,74,1
441,DISAGREEMENT,SUBJECTIVE,94,0
442,DISAGREEMENT,SUBJECTIVE,84,0
443,DISAGREEMENT,SUBJECTIVE,86,0
444,DISAGREEMENT,SUBJECTIVE,86,0
445,DISAGREEMENT,SUBJECTIVE,76,0
446,DISAGREEMENT,OBJECTIVE,86,1
447,DISAGREEMENT,SUBJECTIVE,86,1
448,DISAGREEMENT,SUBJECTIVE,76,0
449,DISAGREEMENT,OBJECTIVE,86,1
450,DISAGREEMENT,SUBJECTIVE,86,1
451,DISAGREEMENT,SUBJECTIVE,86,1
452,DISAGREEMENT,SUBJECTIVE,86,0
453,DISAGREEMENT,SUBJECTIVE,86,0
454,DISAGREEMENT,SUBJECTIVE,86,0
455,DISAGREEMENT,SUBJECTIVE,86,0
456,DISAGREEMENT,SUBJECTIVE,86,0
457,DISAGREEMENT,SUBJECTIVE,86,1
458,DISAGREEMENT,SUBJECTIVE,76,0
459,DISAGREEMENT,SUBJECTIVE,91,1
460,DISAGREEMENT,SUBJECTIVE,76,0
461,DISAGREEMENT,SUBJECTIVE,83,0
462,DISAGREEMENT,SUBJECTIVE,74,1
463,DISAGREEMENT,SUBJECTIVE,86,0
464,DISAGREEMENT,SUBJECTIVE,86,0
465,DISAGREEMENT,SUBJECTIVE,86,0
466,DISAGREEMENT,SUBJECTIVE,86,0
467,DISAGREEMENT,SUBJECTIVE,86,0
468,DISAGREEMENT,OBJECTIVE,86,1
469,DISAGREEMENT,SUBJECTIVE,91,0
470,DISAGREEMENT,SUBJECTIVE,86,1
471,DISAGREEMENT,OBJECTIVE,92,0
472,DISAGREEMENT,SUBJECTIVE,81,1
473,DISAGREEMENT,SUBJECTIVE,86,0
474,DISAGREEMENT,SUBJECTIVE,73,1
475,DISAGREEMENT,SUBJECTIVE,86,0
476,AGREEMENT,SUBJECTIVE,100,1
477,DISAGREEMENT,SUBJECTIVE,82,0
478,DISAGREEMENT,SUBJECTIVE,86,0
479,DISAGREEMENT,SUBJECTIVE,86,0
480,DISAGREEMENT,SUBJECTIVE,94,0
481,DISAGREEMENT,SUBJECTIVE,94,0
482,DISAGREEMENT,SUBJECTIVE,73,0
483,DISAGREEMENT,SUBJECTIVE,86,0
484,DISAGREEMENT,SUBJECTIVE,76,0
485,DISAGREEMENT,SUBJECTIVE,86,0
486,AGREEMENT,OBJECTIVE,100,1
487,DISAGREEMENT,SUBJECTIVE,86,0
488,DISAGREEMENT,SUBJECTIVE,76,0
489,DISAGREEMENT,SUBJECTIVE,92,0
490,DISAGREEMENT,SUBJECTIVE,86,1
491,AGREEMENT,OBJECTIVE,100,1
492,DISAGREEMENT,SUBJECTIVE,83,1
493,DISAGREEMENT,SUBJECTIVE,86,0
494,DISAGREEMENT,SUBJECTIVE,92,1
495,DISAGREEMENT,SUBJECTIVE,94,1
496,DISAGREEMENT,SUBJECTIVE,86,0
497,DISAGREEMENT,SUBJECTIVE,86,1
498,DISAGREEMENT,SUBJECTIVE,84,0
499,DISAGREEMENT,SUBJECTIVE,86,1
500,DISAGREEMENT,SUBJECTIVE,86,1
